model id  =  4

num verts =  8

0   300.000000 0.000000 100.000000
1   200.000000 0.000000 100.000000
2   200.000000 0.000000 0.000000
3   300.000000 0.000000 0.000000
4   100.000000 0.000000 100.000000
5   0.000000 0.000000 100.000000
6   0.000000 0.000000 0.000000
7   100.000000 0.000000 0.000000

num_faces =  4

0   2
1   3
2   0
3   1
4   2
5   0
6   2
7   3
8   0
9   1
10   2
11   0

num_faces =  4 tex

0   0.000000 0.000000
1   1.000000 0.000000
2   1.000000 1.000000
3   0.000000 1.000000
4   0.000000 0.000000
5   1.000000 0.000000
6   1.000000 1.000000
7   0.000000 1.000000
8   0.000000 0.000000
9   1.000000 0.000000
10   1.000000 1.000000
11   0.000000 1.000000

0   17
1   17
2   -842150451
3   -842150451

